mass_A
t	x	y
3,500000000E0	6,838036642E-2	1,060244012E-2
3,510000000E0	4,929795475E-2	9,485478877E-3
3,520000000E0	3,034657539E-2	8,522441206E-3
3,530000000E0	1,109800246E-2	8,455950526E-3
3,540000000E0	-7,559481528E-3	8,218075497E-3
3,550000000E0	-2,704334567E-2	8,390890920E-3
3,560000000E0	-4,598374513E-2	9,482534257E-3
3,570000000E0	-6,512357009E-2	1,083317042E-2
3,580000000E0	-8,446022539E-2	1,261459261E-2
3,590000000E0	-1,030055008E-1	1,537292707E-2
3,600000000E0	-1,214769046E-1	1,680337326E-2
3,610000000E0	-1,403746536E-1	1,964301558E-2
3,620000000E0	-1,584660802E-1	2,280369128E-2
3,630000000E0	-1,766070395E-1	2,674801638E-2
3,640000000E0	-1,938522196E-1	3,102089681E-2
3,650000000E0	-2,118095993E-1	3,556059296E-2
3,660000000E0	-2,287451947E-1	4,075634266E-2
3,670000000E0	-2,450058490E-1	4,629803216E-2
3,680000000E0	-2,614788832E-1	5,199379061E-2
3,690000000E0	-2,774130258E-1	5,798309449E-2
3,700000000E0	-2,925338330E-1	6,470412177E-2
3,710000000E0	-3,075909096E-1	7,163775592E-2
3,720000000E0	-3,222537252E-1	7,869835457E-2
3,730000000E0	-3,363902839E-1	8,592913886E-2
3,740000000E0	-3,498954201E-1	9,335475130E-2
3,750000000E0	-3,629584654E-1	1,013478747E-1
3,760000000E0	-3,752576855E-1	1,090798397E-1
3,770000000E0	-3,871743844E-1	1,170671582E-1
3,780000000E0	-3,985266620E-1	1,253657586E-1
3,790000000E0	-4,085351121E-1	1,327728493E-1
3,800000000E0	-4,191164499E-1	1,411010469E-1
3,810000000E0	-4,289128562E-1	1,493476126E-1
3,820000000E0	-4,379472665E-1	1,569141470E-1
3,830000000E0	-4,464843169E-1	1,648661336E-1
3,840000000E0	-4,544257613E-1	1,723016036E-1
3,850000000E0	-4,618567141E-1	1,794342161E-1
3,860000000E0	-4,688204918E-1	1,863893926E-1
3,870000000E0	-4,750837788E-1	1,931517764E-1
3,880000000E0	-4,805918674E-1	1,995177873E-1
3,890000000E0	-4,857055121E-1	2,059295318E-1
3,900000000E0	-4,899222630E-1	2,118636741E-1
3,910000000E0	-4,944905823E-1	2,162678429E-1
3,920000000E0	-4,986340196E-1	2,210742091E-1
3,930000000E0	-5,021272109E-1	2,252031655E-1
3,940000000E0	-5,050134533E-1	2,296828410E-1
3,950000000E0	-5,073135979E-1	2,333743398E-1
3,960000000E0	-5,098426860E-1	2,369840584E-1
3,970000000E0	-5,116480627E-1	2,397488714E-1
3,980000000E0	-5,131559949E-1	2,420431575E-1
3,990000000E0	-5,142781393E-1	2,441019142E-1
4,000000000E0	-5,153078895E-1	2,456063412E-1
4,010000000E0	-5,158055669E-1	2,467260334E-1
4,020000000E0	-5,158074233E-1	2,469664035E-1
4,030000000E0	-5,157156925E-1	2,469948030E-1
4,040000000E0	-5,155010661E-1	2,468721727E-1
4,050000000E0	-5,143340576E-1	2,455897211E-1
4,060000000E0	-5,129953607E-1	2,441748100E-1
4,070000000E0	-5,115034380E-1	2,425628992E-1
4,080000000E0	-5,094538914E-1	2,400051276E-1
4,090000000E0	-5,072554682E-1	2,370789475E-1
4,100000000E0	-5,046162578E-1	2,339799603E-1
4,110000000E0	-5,015721633E-1	2,300625511E-1
4,120000000E0	-4,978091679E-1	2,257402435E-1
4,130000000E0	-4,943013320E-1	2,214612212E-1
4,140000000E0	-4,901428754E-1	2,162858147E-1
4,150000000E0	-4,862076377E-1	2,114817288E-1
4,160000000E0	-4,809793883E-1	2,046288806E-1
4,170000000E0	-4,759032000E-1	1,985800223E-1
4,180000000E0	-4,702542140E-1	1,918291089E-1
4,190000000E0	-4,636765604E-1	1,847128450E-1
4,200000000E0	-4,571633059E-1	1,777430565E-1
4,210000000E0	-4,503303116E-1	1,703481673E-1
4,220000000E0	-4,423208809E-1	1,623322107E-1
4,230000000E0	-4,338168534E-1	1,544016187E-1
4,240000000E0	-4,251624132E-1	1,462804050E-1
4,250000000E0	-4,154805167E-1	1,381067749E-1
4,260000000E0	-4,055139511E-1	1,299779496E-1
4,270000000E0	-3,955417976E-1	1,221027930E-1
4,280000000E0	-3,841727617E-1	1,139446015E-1
4,290000000E0	-3,719954111E-1	1,055312926E-1
4,300000000E0	-3,595897578E-1	9,735907046E-2
4,310000000E0	-3,466103670E-1	8,980021098E-2
4,320000000E0	-3,333254341E-1	8,209242678E-2
4,330000000E0	-3,193198808E-1	7,468424893E-2
4,340000000E0	-3,041961727E-1	6,741507256E-2
4,350000000E0	-2,897955641E-1	6,144052190E-2
4,360000000E0	-2,746186352E-1	5,479876223E-2
4,370000000E0	-2,589092145E-1	4,894061350E-2
4,380000000E0	-2,430585940E-1	4,335448921E-2
4,390000000E0	-2,263533087E-1	3,824130055E-2
4,400000000E0	-2,095422499E-1	3,373210536E-2
4,410000000E0	-1,920406230E-1	2,948291589E-2
4,420000000E0	-1,749758526E-1	2,543727682E-2
4,430000000E0	-1,572952382E-1	2,242404736E-2
4,440000000E0	-1,398632820E-1	1,935713059E-2
4,450000000E0	-1,211261847E-1	1,686208575E-2
4,460000000E0	-1,035307027E-1	1,553077738E-2
4,470000000E0	-8,574164261E-2	1,377826678E-2
4,480000000E0	-6,783251244E-2	1,236649066E-2
4,490000000E0	-4,937063671E-2	1,119069071E-2
4,500000000E0	-3,133096727E-2	1,101715877E-2
4,510000000E0	-1,350682740E-2	1,105448414E-2
4,520000000E0	4,063578765E-3	1,107313641E-2
4,530000000E0	2,170637963E-2	1,066637153E-2
4,540000000E0	3,945697518E-2	1,109432946E-2
4,550000000E0	5,752564574E-2	1,160017505E-2
4,560000000E0	7,566410335E-2	1,280951847E-2
4,570000000E0	9,403665228E-2	1,541739516E-2
4,580000000E0	1,113084753E-1	1,777407545E-2
4,590000000E0	1,286360198E-1	1,972556486E-2
4,600000000E0	1,464168468E-1	2,275555343E-2
4,610000000E0	1,635119017E-1	2,649266584E-2
4,620000000E0	1,802457610E-1	3,037288343E-2
4,630000000E0	1,964003132E-1	3,461166674E-2
4,640000000E0	2,124998468E-1	3,949344522E-2
4,650000000E0	2,276672359E-1	4,498166977E-2
4,660000000E0	2,423740501E-1	5,021938640E-2
4,670000000E0	2,567809809E-1	5,625896182E-2
4,680000000E0	2,712048615E-1	6,251522081E-2
4,690000000E0	2,849356878E-1	6,879929762E-2
4,700000000E0	2,981529597E-1	7,598790883E-2
4,710000000E0	3,107296383E-1	8,263906910E-2
4,720000000E0	3,233186570E-1	8,957974623E-2
4,730000000E0	3,356182262E-1	9,691842618E-2
4,740000000E0	3,470935158E-1	1,041264428E-1
4,750000000E0	3,580266372E-1	1,111085335E-1
4,760000000E0	3,684718253E-1	1,182497171E-1
4,770000000E0	3,785761264E-1	1,255049317E-1
4,780000000E0	3,884900207E-1	1,326650213E-1
4,790000000E0	3,980863228E-1	1,407026919E-1
4,800000000E0	4,062616454E-1	1,486683586E-1
4,810000000E0	4,144056840E-1	1,536350937E-1
4,820000000E0	4,217917287E-1	1,599309833E-1
4,830000000E0	4,291308405E-1	1,662079638E-1
4,840000000E0	4,361009014E-1	1,720852403E-1
4,850000000E0	4,430311254E-1	1,776809482E-1
4,860000000E0	4,491310731E-1	1,833504730E-1
4,870000000E0	4,550880119E-1	1,887566497E-1
4,880000000E0	4,603915718E-1	1,936904407E-1
4,890000000E0	4,656023005E-1	1,986984150E-1
4,900000000E0	4,701220846E-1	2,028987945E-1
4,910000000E0	4,740970937E-1	2,067651337E-1
4,920000000E0	4,784036668E-1	2,113617330E-1
4,930000000E0	4,820864102E-1	2,144320165E-1
4,940000000E0	4,854887031E-1	2,174827894E-1
4,950000000E0	4,882990281E-1	2,202014347E-1
4,960000000E0	4,907325813E-1	2,226402258E-1
4,970000000E0	4,927564612E-1	2,244648634E-1
4,980000000E0	4,943187885E-1	2,258822601E-1
4,990000000E0	4,954264326E-1	2,271206553E-1
5,000000000E0	4,967064686E-1	2,274778165E-1
5,010000000E0	4,966944411E-1	2,282095083E-1
5,020000000E0	4,967066651E-1	2,283161621E-1
5,030000000E0	4,967345804E-1	2,275236440E-1
5,040000000E0	4,954111223E-1	2,269541195E-1
5,050000000E0	4,940609132E-1	2,255878038E-1
5,060000000E0	4,927437942E-1	2,235750725E-1
5,070000000E0	4,899681769E-1	2,215310019E-1
5,080000000E0	4,877086142E-1	2,187146440E-1
5,090000000E0	4,846355262E-1	2,159957760E-1
5,100000000E0	4,812284829E-1	2,128218400E-1
5,110000000E0	4,774430775E-1	2,089247718E-1
5,120000000E0	4,734745476E-1	2,047524829E-1
5,130000000E0	4,689091997E-1	2,008430245E-1
5,140000000E0	4,638891182E-1	1,959608535E-1
5,150000000E0	4,587481104E-1	1,907577571E-1
5,160000000E0	4,529839489E-1	1,859430364E-1
5,170000000E0	4,471618166E-1	1,805428367E-1
5,180000000E0	4,404266032E-1	1,748934396E-1
5,190000000E0	4,333907801E-1	1,690669307E-1
5,200000000E0	4,260094176E-1	1,625471138E-1
5,210000000E0	4,179622867E-1	1,563598575E-1
